CAS,Tc,Pc,Vc,Zc,SMILES,Chemical,omega,Tc_error,Pc_error,Vc_error,ID,name,Tt,Pt,Tb,MW,Reference,Tm,Hfs,Hfl,Hfg,S0s,S0l,S0g,Hsub,Hfus,Hvap,AntoineTmin,AntoineTmax,AntoineA,AntoineB,AntoineC
90-11-9,824.0,3700000.0,0.000453,0.2446462309309625,Brc1cccc2ccccc12,,,,,,,,,,,,,,,,,,,,,,,,,,,
106-94-5,535.5,4578000.0,0.000263,0.2704194197654766,CCCBr,,,,,,,,,,,,,,,,,,,,,,,,,,,
71-36-3,563.1,4414000.0,0.000273,0.2573802767151409,CCCCO,,,,,,,,,,,,,,,,,,,,,,,,,,,
106-98-9,419.5,4020000.0,0.000241,0.2777646317341927,CCC=C,,,,,,,,,,,,,,,,,,,,,,,,,,,
75-68-3,410.29,4041000.0,0.000225,0.2665300933820531,CC(F)(F)Cl,,,,,,,,,,,,,,,,,,,,,,,,,,,
97-00-7,813.77,3490000.0,0.000478,0.2465570715673672,[O-][N+](=O)c1ccc(Cl)c(c1)[N+]([O-])=O,,,,,,,,,,,,,,,,,,,,,,,,,,,
90-13-1,785.0,3400000.0,0.000434,0.2260813848420975,Clc1cccc2ccccc12,,,,,,,,,,,,,,,,,,,,,,,,,,,
543-59-9,571.2,3352000.0,0.000356,0.2512647838598485,CCCCCCl,,,,,,,,,,,,,,,,,,,,,,,,,,,
15890-40-1,579.82,2898000.0,0.000417,0.2506727118917301,C[C@@H]1CC[C@@H](C)C1C,,,,,,,,,,,,,,,,,,,,,,,,,,,
4850-28-6,579.26,2878000.0,0.000417,0.249183407050386,CC1C[C@H](C)[C@H](C)C1,,,,,,,,,,,,,,,,,,,,,,,,,,,
823-76-7,673.7,3361000.0,0.000432,0.2592098655915038,CC(=O)C1CCCCC1,,,,,,,,,,,,,,,,,,,,,,,,,,,
112-30-1,688.0,2308000.0,0.000645,0.2602393082236984,CCCCCCCCCCO,,,,,,,,,,,,,,,,,,,,,,,,,,,
872-05-9,616.6,2223000.0,0.000584,0.2532296789358227,CCCCCCCCC=C,,,,,,,,,,,,,,,,,,,,,,,,,,,
764-93-2,619.85,2370000.0,0.000552,0.2538438424797868,CCCCCCCCC#C,,,,,,,,,,,,,,,,,,,,,,,,,,,
661-19-8,824.4,1035000.0,0.0015289,0.2308592403586762,CCCCCCCCCCCCCCCCCCCCCCO,,,,,,,,,,,,,,,,,,,,,,,,,,,
112-53-8,718.7,1954000.0,0.000787,0.2573460234311868,CCCCCCCCCCCCO,,,,,,,,,,,,,,,,,,,,,,,,,,,
112-41-4,657.1,1888000.0,0.000725,0.2505384257837215,CCCCCCCCCCC=C,,,,,,,,,,,,,,,,,,,,,,,,,,,
629-96-9,807.7,1154000.0,0.00138,0.2371377130774323,CCCCCCCCCCCCCCCCCCCCO,,,,,,,,,,,,,,,,,,,,,,,,,,,
3452-07-1,771.0,1220000.0,0.0013,0.2474085020723262,CCCCCCCCCCCCCCCCCCC=C,,,,,,,,,,,,,,,,,,,,,,,,,,,
1569-02-4,560.4,3748000.0,0.000333,0.2678622447736361,CCOCC(C)O,,,,,,,,,,,,,,,,,,,,,,,,,,,
18970-44-0,666.0,2670000.0,0.00053,0.25555166609754,CCC1=CC=CC=C1C(C)C,,,,,,,,,,,,,,,,,,,,,,,,,,,
